Actual,Predicted,Residual
60,57.63900078355569,2.3609992164443128
74,72.07649351070488,1.9235064892951215
84,77.76986970747592,6.2301302925240805
87,78.66906626283655,8.330933737163448
78,71.3942568807475,6.6057431192524945
82,79.22350480593218,2.77649519406782
85,79.46308804424312,5.536911955756878
81,75.45699585324486,5.543004146755138
73,73.72349277710194,-0.7234927771019386
78,77.76349912308395,0.23650087691605393
87,83.751429170114,3.248570829886006
98,82.58428391060718,15.415716089392816
88,81.51479478314317,6.485205216856826
80,78.6599803635697,1.3400196364302985
78,73.42514795321502,4.574852046784983
70,67.36672432520957,2.6332756747904256
54,57.92162807024443,-3.921628070244431
50,52.902169033133006,-2.9021690331330063
47,49.31754738106263,-2.3175473810626315
43,43.43945209624973,-0.43945209624973103
39,40.16321328151706,-1.1632132815170593
45,42.04039163902547,2.959608360974528
51,45.630202842755764,5.369797157244236
53,49.58996249153627,3.4100375084637307
59,57.79960262366207,1.200397376337932
69,71.43674058585283,-2.4367405858528315
82,77.49795073809604,4.502049261903963
82,78.62396757786868,3.376032422131317
72,71.31262919335947,0.68737080664053
75,79.28035579524607,-4.2803557952460665
78,79.46946001610092,-1.4694600161009248
75,75.40584401509923,-0.40584401509923396
73,73.76600632321345,-0.7660063232134462
75,77.83583440037226,-2.8358344003722635
89,83.82341834674122,5.176581653258779
86,82.73750396875785,3.2624960312421507
80,81.55132400485732,-1.551324004857321
79,78.75802185177504,0.241978148224959
74,73.40175745803015,0.5982425419698529
67,67.34165855782074,-0.34165855782073606
56,58.14187045883645,-2.1418704588364506
52,52.94980604352269,-0.9498060435226918
49,49.49179345132831,-0.49179345132831287
42,43.674542864289116,-1.6745428642891156
34,40.39038302130505,-6.390383021305048
40,42.20669038854683,-2.206690388546832
48,45.899437872211045,2.1005621277889546
48,49.77201994699147,-1.7720199469914704
54,57.998022915041524,-3.998022915041524
82,71.61221105133431,10.387788948665687
86,77.68396868277932,8.316031317220677
85,78.8164894958714,6.183510504128606
73,71.50410365805463,1.4958963419453681
80,79.47580107595938,0.5241989240406184
80,79.66345783287343,0.3365421671265665
78,75.59819236155887,2.4018076384411273
70,73.96104048395881,-3.9610404839588114
74,78.03172368633014,-4.031723686330139
81,84.0192977084127,-3.0192977084126937
81,82.93571259074001,-1.9357125907400103
82,81.74618656769502,0.2538134323049803
72,78.95464825218626,-6.95464825218626
66,73.59490184896345,-7.5949018489634454
63,67.53475491104989,-4.5347549110498875
54,58.34200091708704,-4.3420009170870415
48,53.14498711738497,-5.1449871173849715
40,49.69060498509222,-9.690604985092222
36,43.87509909338297,-7.875099093382971
33,40.59071211834789,-7.590712118347888
