Actual,Predicted,Residual
60,63.9408208542513,-3.9408208542512995
74,70.77911702031669,3.22088297968331
84,75.7505087541973,8.249491245802702
87,77.6327126274731,9.367287372526903
78,76.76581890245097,1.2341810975490262
82,74.78885142169177,7.211148578308226
85,73.52539203167387,11.474607968326126
81,73.86754258629686,7.132457413703136
73,75.45503429891176,-2.4550342989117553
78,77.24109982555214,0.7589001744478594
87,78.33273010489278,8.667269895107225
98,78.40051780831618,19.59948219168382
88,77.47978006649866,10.520219933501338
80,75.57071736498774,4.429282635012257
78,72.53689838464133,5.463101615358667
70,68.37948975750828,1.6205102424917186
54,63.519415405493646,-9.519415405493646
50,58.72086565248236,-8.72086565248236
47,54.706790717378766,-7.706790717378766
43,51.873324783154644,-8.873324783154644
39,50.40085886854933,-11.400858868549328
45,50.59074183022454,-5.5907418302245375
51,52.94355282497322,-1.9435528249732172
53,57.71865976648796,-4.71865976648796
59,64.2971961017195,-5.297196101719507
69,71.01926744155713,-2.0192674415571332
82,75.86581709149499,6.134182908505011
82,77.61659611558429,4.3834038844157135
72,76.61370063997848,-4.613700639978475
75,74.49809358897518,0.5019064110248195
78,73.09519271133473,4.904807288665268
75,73.29879848140506,1.7012015185949423
73,74.7501721537375,-1.7501721537374948
75,76.40387981220368,-1.4038798122036837
89,77.36802485841858,11.631975141581421
86,77.31407115308272,8.685928846917278
80,76.27794978155627,3.7220502184437265
79,74.2602065772707,4.739793422729306
74,71.124480353395,2.8755196466049995
67,66.87173092454276,0.12826907545723998
56,61.92240161835836,-5.922401618358357
52,57.03993643993114,-5.0399364399311395
49,52.94628639268696,-3.9462863926869574
42,50.03635097964548,-8.036350979645484
34,48.48907287525222,-14.48907287525222
40,48.60416479410383,-8.60416479410383
48,50.88041152859045,-2.88041152859045
48,55.57526127125179,-7.57526127125179
54,62.06783808721389,-8.067838087213893
82,68.69618656142866,13.30381343857134
86,73.43917712404485,12.560822875955154
85,75.07451711403117,9.925482885968833
73,73.94232969237422,-0.9423296923742157
80,71.68171719110691,8.318282808893088
80,70.11639013831892,9.88360986168108
78,70.13863493829693,7.861365061703069
70,71.38842987757258,-1.3884298775725767
74,72.81932472298811,1.1806752770118862
81,73.53870579607158,7.461294203928418
81,73.21764822194082,7.78235177805918
82,71.89204784045211,10.107952159547892
72,69.56278948575458,2.4372105142454217
66,66.09424120751329,-0.09424120751329212
63,61.48849319581131,1.5115068041886914
54,56.16752586302707,-2.1675258630270733
48,50.896727054781095,-2.8967270547810955
40,46.40039278540584,-6.400392785405842
36,43.07615747594966,-7.076157475949657
33,41.10607172667851,-8.106071726678508
31,40.79330675139644,-9.793306751396443
30,42.64042863129174,-12.64042863129174
38,46.90895675952366,-8.908956759523662
42,52.98233866064912,-10.98233866064912
46,59.20315260470186,-13.203152604701863
49,63.55496696539005,-14.55496696539005
48,64.82030188952045,-16.82030188952045
45,63.34415594878364,-18.344155948783637
46,60.770514956734154,-14.770514956734154
46,58.92792483005769,-12.927924830057691
43,58.71340213778499,-15.713402137784989
42,59.771492695233846,-17.771492695233846
50,61.06009416581645,-11.060094165816452
54,61.69066525739147,-7.690665257391473
57,61.33802390630237,-4.338023906302368
62,60.041427618952966,1.9585723810470341
56,57.804693337893,-1.8046933378929992
49,54.49464703116425,-5.494647031164249
49,50.115322360999365,-1.1153223609993645
44,45.09009342380649,-1.0900934238064934
36,40.185162027203745,-4.185162027203745
34,36.12503432623613,-2.1250343262361326
28,33.306933166364054,-5.306933166364054
29,31.911864451374758,-2.9118644513747576
29,32.24131689108904,-3.241316891089042
31,34.79553842446322,-3.795538424463217
35,39.833103750408895,-4.833103750408895
39,46.73390513643988,-7.73390513643988
41,53.83637781675869,-12.836377816758691
50,59.11938875598853,-9.119388755988531
49,61.36023407982114,-12.36023407982114
45,60.89820751211457,-15.898207512114567
48,59.371156586332845,-11.371156586332845
42,58.60110804004081,-16.601108040040813
46,59.47823549013787,-13.47823549013787
48,61.63997915321851,-13.639979153218512
51,64.03693292555431,-13.03693292555431
62,65.77312072157906,-3.773120721579062
60,66.51586374089155,-6.515863740891547
66,66.29693108412864,-0.29693108412864433
66,65.11273031862248,0.8872696813775178
62,62.822827420420566,-0.8228274204205661
54,59.42421467223261,-5.424214672232608
45,55.3335107483332,-10.333510748333197
43,51.31051270821207,-8.310512708212073
41,48.07373400512885,-7.073734005128848
35,46.014874175260005,-11.014874175260005
32,45.309937894386465,-13.309937894386465
38,46.25598217151203,-8.25598217151203
45,49.34943444979108,-4.349434449791083
52,54.84569559074836,-2.845695590748363
59,62.122159521512536,-3.122159521512536
68,69.51546054352639,-1.5154605435263875
78,75.0033768435152,2.9966231564848016
80,77.36283535855536,2.6371646414446417
76,76.93348025749644,-0.9334802574964414
84,75.35422183062349,8.645778169376513
83,74.44884728530268,8.551152714697324
75,75.1099667327782,-0.10996673277820435
78,76.97810438674306,1.0218956132569446
82,79.00755062928049,2.9924493707195126
90,80.30659725265119,9.693402747348813
87,80.54735802636459,6.452641973635409
79,79.76686755227816,-0.766867552278157
81,77.96721560309156,3.03278439690844
72,75.01400701907878,-3.0140070190787753
69,70.91056642745339,-1.9105664274533893
55,66.08007273204247,-11.080072732042467
53,61.289043842556545,-8.289043842556545
49,57.262806502040426,-8.262806502040426
43,54.399897643134246,-11.399897643134246
36,52.88311572156108,-16.883115721561083
44,53.01620154382903,-9.016201543829027
44,55.30209208618752,-11.302092086187521
48,60.00246197812311,-12.002461978123108
60,66.50068509187643,-6.500685091876434
72,73.13902785047658,-1.1390278504765803
